shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
mca,39.263561,9.142768,0
mca,39.263508,9.142800,1
mca,39.263508,9.142775,2
mca,39.263294,9.142794,3
mca,39.263165,9.142684,4
mca,39.262569,9.141851,5
mca,39.262039,9.141171,6
mca,39.261543,9.140628,7
mca,39.261429,9.140547,8
mca,39.260860,9.139839,9
mca,39.260529,9.139552,10
mca,39.260086,9.139016,11
mca,39.259781,9.138740,12
mca,39.259190,9.138083,13
mca,39.259109,9.138000,14
mca,39.258896,9.138307,15
mca,39.259014,9.137956,16
mca,39.259010,9.137885,17
mca,39.258698,9.137657,18
mca,39.257565,9.136966,19
mca,39.257507,9.136971,20
mca,39.257378,9.136853,21
mca,39.257122,9.136728,22
mca,39.256741,9.136472,23
mca,39.255795,9.135978,24
mca,39.255245,9.135641,25
mca,39.254616,9.135341,26
mca,39.254532,9.135239,27
mca,39.254211,9.135027,28
mca,39.253258,9.134465,29
mca,39.253117,9.134343,30
mca,39.252979,9.134279,31
mca,39.252800,9.134141,32
mca,39.252762,9.134170,33
mca,39.252247,9.133826,34
mca,39.251236,9.133020,35
mca,39.250504,9.132518,36
mca,39.250282,9.132436,37
mca,39.249985,9.132409,38
mca,39.249710,9.132460,39
mca,39.249306,9.132765,40
mca,39.249214,9.132867,41
mca,39.249104,9.132922,42
mca,39.248756,9.133241,43
mca,39.248062,9.134177,44
mca,39.246937,9.135450,45
mca,39.246960,9.135307,46
mca,39.246731,9.135519,47
mca,39.246559,9.135615,48
mca,39.246170,9.135912,49
mca,39.245461,9.136282,50
mca,39.245087,9.136409,51
mca,39.244457,9.136543,52
mca,39.242630,9.136849,53
mca,39.241829,9.137025,54
mca,39.241600,9.137055,55
mca,39.241524,9.137019,56
mca,39.241306,9.137054,57
mca,39.240303,9.137236,58
mca,39.239880,9.137379,59
mca,39.239719,9.137350,60
mca,39.238956,9.137441,61
mca,39.234962,9.138208,62
mca,39.234509,9.138212,63
mca,39.234100,9.138141,64
mca,39.233814,9.138013,65
mca,39.233215,9.137640,66
mca,39.233173,9.137562,67
mca,39.233105,9.137524,68
mca,39.232555,9.136949,69
mca,39.232269,9.136573,70
mca,39.232224,9.136452,71
mca,39.231289,9.135354,72
mca,39.230682,9.134854,73
mca,39.230553,9.134655,74
mca,39.230461,9.134578,75
mca,39.230373,9.134529,76
mca,39.230103,9.134338,77
mca,39.229294,9.133880,78
mca,39.227413,9.132735,79
mca,39.226631,9.132316,80
mca,39.226051,9.131961,81
mca,39.225925,9.131855,82
mca,39.225796,9.131945,83
mca,39.225845,9.131851,84
mca,39.225323,9.131525,85
mca,39.224812,9.131270,86
mca,39.224472,9.131207,87
mca,39.224159,9.131179,88
mca,39.223946,9.131222,89
mca,39.223858,9.131270,90
mca,39.223640,9.131494,91
mca,39.223190,9.132074,92
mca,39.222675,9.132594,93
mca,39.222694,9.132702,94
mca,39.222668,9.132749,95
mca,39.222466,9.132962,96
mca,39.222191,9.133329,97
mca,39.222050,9.133444,98
mca,39.221748,9.133646,99
mca,39.221573,9.133697,100
mca,39.221252,9.133663,101
mca,39.221008,9.133547,102
mca,39.220825,9.133385,103
mca,39.220718,9.133233,104
mca,39.220638,9.132958,105
mca,39.220375,9.131700,106
mca,39.220295,9.131004,107
mca,39.220123,9.129936,108
mca,39.220016,9.129642,109
mca,39.219818,9.129204,110
mca,39.219341,9.128495,111
mca,39.219193,9.128231,112
mca,39.219154,9.128109,113
mca,39.218967,9.127943,114
mca,39.218838,9.127689,115
mca,39.218304,9.126844,116
mca,39.218224,9.126598,117
mca,39.218143,9.126506,118
mca,39.218040,9.126210,119
mca,39.217743,9.125691,120
mca,39.217529,9.125454,121
mca,39.217361,9.125317,122
mca,39.217335,9.125212,123
