route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101,2,1,SAN VITO CABINA ENEL,1,,
101,3,2,VILLAPUTZU RIONE SANTA MARIA,1,,
101,2,3,SAN VITO CABINA ENEL,1,,
101,4,4,VILLASIMIUS POSTEGGIO,1,,
101,2,5,SAN VITO CABINA ENEL,1,,
101,4,6,VILLASIMIUS POSTEGGIO,1,,
101,4,7,SAN VITO CABINA ENEL,1,,
101,38,8,COSTA REI-MONTE NAI,1,,
101,38,9,COSTA REI-MONTE NAI,1,,
101,2,45,CAGLIARI AUTOSTAZIONE ARST,0,,
101,2,46,CAGLIARI AUTOSTAZIONE ARST,0,,
101,4,47,CAGLIARI AUTOSTAZIONE ARST,0,,
101,2,48,CAGLIARI AUTOSTAZIONE ARST,0,,
101,3,49,VILLASIMIUS POSTEGGIO,0,,
101,2,50,CAGLIARI AUTOSTAZIONE ARST,0,,
101,4,51,CAGLIARI AUTOSTAZIONE ARST,0,,
101,38,52,CAGLIARI AUTOSTAZIONE ARST,0,,
101,38,53,CAGLIARI AUTOSTAZIONE ARST,0,,
101,51,67,VILLASIMIUS POSTEGGIO,0,,
102,5,91,MURAVERA ISTITUTO AGRARIO,1,,
102,3,92,MURAVERA VIA ROMA 8 - LICEO,1,,
102,3,93,VILLAPUTZU RIONE SANTA MARIA,1,,
102,6,94,COLOSTRAI,1,,
102,3,95,MURAVERA,1,,
102,5,121,SAN VITO CABINA ENEL,0,,
102,2,122,BALLAO,0,,
102,3,123,ESCALAPLANO,0,,
102,5,124,ESCALAPLANO,0,,
102,3,125,ESCALAPLANO,0,,
102,6,126,ESCALAPLANO,0,,
102,3,127,BALLAO,0,,
102,51,141,BALLAO,0,,
103,2,165,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,166,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,167,SAN PRIAMO VIA CHIESA,1,,
103,2,168,CAGLIARI AUTOSTAZIONE ARST,1,,
103,4,169,CAGLIARI AUTOSTAZIONE ARST,1,,
103,7,170,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,171,TERTENIA CASERMA,1,,
103,2,172,MURAVERA,1,,
103,2,173,SAN PRIAMO VIA CHIESA,1,,
103,2,174,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,175,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,176,SAN PRIAMO VIA CHIESA,1,,
103,2,177,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,178,CAGLIARI AUTOSTAZIONE ARST,1,,
103,2,179,SAN PRIAMO VIA CHIESA,1,,
103,2,180,CAGLIARI AUTOSTAZIONE ARST,1,,
103,39,181,CAGLIARI AUTOSTAZIONE ARST,1,,
103,39,182,CAGLIARI AUTOSTAZIONE ARST,1,,
103,39,183,CAGLIARI AUTOSTAZIONE ARST,1,,
103,39,184,TERTENIA CASERMA,1,,
103,2,265,VILLANOVA STRISAILI,0,,
103,2,266,BIVIO ARZANA,0,,
103,2,267,SAN VITO CABINA ENEL,0,,
103,4,268,VILLAPUTZU RIONE SANTA MARIA,0,,
103,2,269,TORTOLI' FRA LOCCI,0,,
103,7,270,MURAVERA,0,,
103,2,271,SAN VITO CABINA ENEL,0,,
103,8,272,TORTOLI' FRA LOCCI,0,,
103,3,273,TERTENIA CASERMA,0,,
103,2,274,SAN VITO CABINA ENEL,0,,
103,2,275,VILLAGRANDE PIAZZA MARTIRI,0,,
103,2,276,LANUSEI STAZIONE FDS,0,,
103,2,277,TORTOLI' FRA LOCCI,0,,
103,2,278,SAN VITO CABINA ENEL,0,,
103,2,279,SAN VITO CABINA ENEL,0,,
103,2,280,TORTOLI' FRA LOCCI,0,,
103,2,281,SAN VITO CABINA ENEL,0,,
103,2,282,TORTOLI' FRA LOCCI,0,,
103,2,283,MURAVERA,0,,
103,39,285,VILLAPUTZU RIONE SANTA MARIA,0,,
103,39,286,LANUSEI STAZ. ARST-VIA MARCONI,0,,
103,39,287,TORTOLI' FRA LOCCI,0,,
105,3,383,VILLAPUTZU RIONE SANTA MARIA,1,,
105,9,384,MURAVERA,1,,
105,3,385,MURAVERA ISTITUTO AGRARIO,1,,
105,10,386,VILLAPUTZU RIONE SANTA MARIA,1,,
105,3,387,VILLAPUTZU RIONE SANTA MARIA,1,,
105,6,388,PORTO CORALLO,1,,
105,6,389,PORTO CORALLO,1,,
105,2,390,MURAVERA,1,,
105,3,391,SAN VITO FUNTANA IRI,1,,
105,3,392,MURAVERA,1,,
105,6,393,COLOSTRAI,1,,
105,3,394,MURAVERA,1,,
105,6,395,PORTO CORALLO,1,,
105,3,396,MURAVERA,1,,
105,6,397,PORTO CORALLO,1,,
105,3,398,SAN VITO FUNTANA IRI,1,,
105,3,399,VILLASALTO,1,,
105,3,400,MURAVERA,1,,
105,2,401,VILLAPUTZU RIONE SANTA MARIA,1,,
105,3,402,MURAVERA,1,,
105,3,403,VILLASALTO,1,,
105,40,404,PORTO CORALLO,1,,
105,40,405,COLOSTRAI,1,,
105,40,406,PORTO CORALLO,1,,
105,40,407,COLOSTRAI,1,,
105,40,408,PORTO CORALLO,1,,
105,51,438,VILLAPUTZU RIONE SANTA MARIA,1,,
105,3,516,SENORBI` ISTITUTO AGRARIO,0,,
105,9,517,SAN VITO CABINA ENEL,0,,
105,3,518,SAN VITO CABINA ENEL,0,,
105,10,519,SAN VITO CABINA ENEL,0,,
105,6,520,SAN VITO CABINA ENEL,0,,
105,6,521,SAN VITO CABINA ENEL,0,,
105,6,522,SAN VITO CABINA ENEL,0,,
105,3,523,SENORBI` PIAZZA S. ANTONIO 1,0,,
105,2,524,SAN VITO CABINA ENEL,0,,
105,3,525,SAN VITO CABINA ENEL,0,,
105,3,526,SAN VITO CABINA ENEL,0,,
105,6,527,SILIUS,0,,
105,3,528,SILIUS,0,,
105,3,529,ARMUNGIA,0,,
105,10,530,SILIUS,0,,
105,6,531,SAN VITO CABINA ENEL,0,,
105,6,532,SAN VITO CABINA ENEL,0,,
105,5,533,SAN VITO CABINA ENEL,0,,
105,6,534,SAN VITO CABINA ENEL,0,,
105,6,535,PORTO CORALLO,0,,
105,3,536,SAN VITO CABINA ENEL,0,,
105,3,537,MURAVERA,0,,
105,3,538,VILLAPUTZU RIONE SANTA MARIA,0,,
105,40,539,SAN VITO CABINA ENEL,0,,
105,40,540,SAN VITO CABINA ENEL,0,,
105,40,541,SAN VITO CABINA ENEL,0,,
105,40,542,SAN VITO CABINA ENEL,0,,
105,40,543,SAN VITO CABINA ENEL,0,,
105,51,584,SILIUS,0,,
106,2,661,BIVIO BURCEI,1,,
106,2,662,CAGLIARI AUTOSTAZIONE ARST,1,,
106,3,663,CAGLIARI AUTOSTAZIONE ARST,1,,
106,3,664,CAGLIARI AUTOSTAZIONE ARST,1,,
106,2,665,CAGLIARI AUTOSTAZIONE ARST,1,,
106,2,666,CAGLIARI AUTOSTAZIONE ARST,1,,
106,2,667,CAGLIARI AUTOSTAZIONE ARST,1,,
106,3,668,BIVIO BURCEI,1,,
106,3,669,CAGLIARI AUTOSTAZIONE ARST,1,,
106,2,670,CAGLIARI AUTOSTAZIONE ARST,1,,
106,2,671,CAGLIARI AUTOSTAZIONE ARST,1,,
106,39,672,MARACALAGONIS CANT.SOCIALE,1,,
106,39,673,MARACALAGONIS CANT.SOCIALE,1,,
106,2,729,BURCEI,0,,
106,3,730,BURCEI,0,,
106,2,731,BURCEI,0,,
106,2,732,BURCEI,0,,
106,3,733,BURCEI,0,,
106,3,734,BURCEI,0,,
106,2,735,BURCEI,0,,
106,3,736,BURCEI,0,,
106,2,737,BURCEI,0,,
106,2,738,BURCEI,0,,
106,39,739,BURCEI,0,,
106,39,740,BURCEI,0,,
107,3,791,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,792,MARACALAGONIS FR. CANT.SOCIALE,1,,
107,2,793,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,794,SINNAI PIAZZA SANT'ISIDORO,1,,
107,2,795,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,796,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,797,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,798,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,799,MARACALAGONIS FR. CANT.SOCIALE,1,,
107,2,800,CAGLIARI AUTOSTAZIONE ARST,1,,
107,3,801,SINNAI PIAZZA SANT'ISIDORO,1,,
107,3,802,CAGLIARI AUTOSTAZIONE ARST,1,,
107,2,803,CAGLIARI AUTOSTAZIONE ARST,1,,
107,3,804,MARACALAGONIS FR. CANT.SOCIALE,1,,
107,2,805,MARACALAGONIS FR. CANT.SOCIALE,1,,
