agency_id,agency_name,agency_url,agency_timezone,agency_lang
"9","ASARA","http://www.asaraturismo.com","Europe/Rome","IT"
"10","ATZENI","http://www.sardegnamobilita.it","Europe/Rome","IT"
"11","MURGIA AUTOLINEE","http://www.murgiabus.it","Europe/Rome","IT"
"12","BAIRE AUTOLINEE","http://www.tourbaire.it","Europe/Rome","IT"
"13","AUTOLINEE DEL GOLFO","http://www.sardegnamobilita.it","Europe/Rome","IT"
"14","FRAU AUTOLINEE","http://www.sardegnamobilita.it","Europe/Rome","IT"
"16","FAB","http://www.autoservizifab.it","Europe/Rome","IT"
"17","MEREU","http://autoservizi.com","Europe/Rome","IT"
"20","BALESTRUCCI","http://www.faraviaggi.it","Europe/Rome","IT"
"22","CARAMELLI TOURS","http://www.caramellitours.it","Europe/Rome","IT"
"23","CAREDDU","http://www.caredduautoservizi.com","Europe/Rome","IT"
"24","COBUS 90","http://www.cobus90.it","Europe/Rome","IT"
"25","DEDONI","http://www.dedoniturismo.it","Europe/Rome","IT"
"26","DEPLANU GIUSEPPINO","http://www.redentours.com","Europe/Rome","IT"
"27","DIGITUR","http://www.digitur.it","Europe/Rome","IT"
"28","DETTORI","http://www.sardegnamobilita.it","Europe/Rome","IT"
"30","EUROSAR","http://www.eurosar.it/","Europe/Rome","IT"
"31","FATA","http://www.autoservizifata.it","Europe/Rome","IT"
"32","CAPPATO","http://www.sardegnamobilita.it","Europe/Rome","IT"
"33","DEPLANO F.LLI","http://www.noleggiopullmansardegna.it/","Europe/Rome","IT"
"35","FARA VIAGGI","http://www.faraviaggi.it","Europe/Rome","IT"
"37","MOLINU","http://www.sardegnamobilita.it","Europe/Rome","IT"
"38","GARAU","http://www.sardegnamobilita.it","Europe/Rome","IT"
"39","GIAGHEDDU","http://www.sardegnamobilita.it","Europe/Rome","IT"
"41","LOGUDORO TOUR","http://www.logudorotours.it","Europe/Rome","IT"
"42","MASALA","http://www.autolineemasala.it","Europe/Rome","IT"
"43","MELIS","http://www.melisnoleggioautobus.com","Europe/Rome","IT"
"46","NORDORIENTALE","http://www.sardegnamobilita.it","Europe/Rome","IT"
"50","PANI GEROLAMO","http://www.sardegnamobilita.it","Europe/Rome","IT"
"51","PISANU","http://www.pisanuautolinee.it","Europe/Rome","IT"
"52","PUDDU","http://www.sardegnamobilita.it","Europe/Rome","IT"
"54","SANNA","http://www.sardegnamobilita.it","Europe/Rome","IT"
"55","SARDABUS","http://www.sardabus.it","Europe/Rome","IT"
"57","SENIS","http://www.autoservizisenis.it","Europe/Rome","IT"
"58","SERRA","http://www.sardegnamobilita.it","Europe/Rome","IT"
"59","SEUNIS","http://www.seunistours.com","Europe/Rome","IT"
"60","SINA","http://www.sinautonoleggio.com","Europe/Rome","IT"
"62","SUN LINES","http://www.sunlineseliteservice.com","Europe/Rome","IT"
"63","TOUR BUS","http://www.sardegnamobilita.it","Europe/Rome","IT"
"64","TURMO TRAVEL","http://www.gruppoturmotravel.com","Europe/Rome","IT"
"67","ZENTILE","http://www.anglonatour.com","Europe/Rome","IT"
"111","AUT NUOVA SUN TRAVEL","http://www.sardegnamobilita.it","Europe/Rome","IT"
"210","TREXENTA","http://www.viaggilisci.com","Europe/Rome","IT"
"211","TURMO LINES SRL","http://www.gruppoturmotravel.com","Europe/Rome","IT"
"212","VACCA AUTOSERVIZI SNC","http://www.sardegnamobilita.it","Europe/Rome","IT"
"3001","TRENITALIA","http://www.trenitalia.it","Europe/Rome","IT"
