route_id,agency_id,route_short_name,route_long_name,route_type
"Asara-301","9","","Berchidda-Ozieri","3"
"Asara-302","9","","Berchidda-Sassari","3"
"Asara-304","9","","Budduso-Oschiri","3"
"Atzeni-401","10","","Siris-Spiaggia Sassu","3"
"Atzeni-402","10","","Siris-San Gavino","3"
"Autolinee_del_Golfo-504","13","","Maracalagonis-Macchiareddu","3"
"Autolinee_del_Golfo-520","13","","Santadi-Cagliari","3"
"Autolinee_del_Golfo-531","13","","Maracalagonis-Sarroch ZI","3"
"Autolinee_del_Golfo-532","13","","Maracalagonis-Sarroch ZI","3"
"Autolinee_del_Golfo-536","13","","Monserrato-Sarroch ZI","3"
"Autolinee_del_Golfo-554","13","","Monserrato-Pirri-Sarroch ZI","3"
"Autolinee_del_Golfo-555","13","","Maracalagonis-Selargius","3"
"Autolinee_del_Golfo-556","13","","Quartu-Elmas I.Agrario","3"
"Aut_Nuova_Sun_Travel-8901","111","","Lula-S.Giovanni","3"
"Aut_Nuova_Sun_Travel-8903","111","","Osidda-Nuoro","3"
"Aut_Nuova_Sun_Travel-8904","111","","Lula-Siniscola","3"
"Aut_Nuova_Sun_Travel-8905","111","","Osidda-Sologo","3"
"Baire_Autolinee-601","12","","Capoterra-Cagliari","3"
"Baire_Autolinee-607","12","","Vill. Moratti-Sarroch ZI","3"
"Baire_Autolinee-632","12","","Pula-Macchiareddu","3"
"Baire_Autolinee-633","12","","Monastir-Sarroch ZI","3"
"Balestrucci-10101","20","","Mara-Macomer","3"
"Balestrucci-10102","20","","Ardauli-Macomer","3"
"Cappato-2301","32","","Luri-Oristano","3"
"Cappato-2302","32","","San Gavino-Spiaggia 26","3"
"Caramelli_Tours-2606","22","","Olbia IB-B. Sardinia","3"
"Caramelli_Tours-901","22","","Tempio-Ozieri","3"
"Caramelli_Tours-902","22","","S. Teresa-Porto Cervo","3"
"Caramelli_Tours-903","22","","Tempio-Viddalba","3"
"Caramelli_Tours-905","22","","Palau-Capo d'Orso","3"
"Caramelli_Tours-906","22","","Palau-I. dei Gabbiani","3"
"Caramelli_Tours-907","22","","Tempio-Perfugas","3"
"Careddu-1001","23","","Tempio-Lo Sfossato","3"
"Careddu-1002","23","","Tempio-Capriccioli","3"
"Careddu-1003","23","","Tempio-S.A.Gallura","3"
"Careddu-1004","23","","Tempio-Arzachena","3"
"Careddu-1005","23","","Tempio-Cagliari","3"
"Cobus_90-8601","24","","Tiria Alta-Oristano","3"
"Dedoni-1602","25","","Dolianova-Macchiareddu ZI","3"
