trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
"80001","7:49:00","7:49:00","7073","6","1","0"
"80001","7:00:00","7:00:00","800130","1","0","1"
"80001","7:08:00","7:08:00","800206","2","0","0"
"80001","7:38:00","7:38:00","800259","5","0","0"
"80001","7:31:00","7:31:00","800260","4","0","0"
"80001","7:19:00","7:19:00","8212863","3","0","0"
"80002","14:30:00","14:30:00","7073","1","0","1"
"80002","15:19:00","15:19:00","800130","6","1","0"
"80002","15:11:00","15:11:00","800206","5","0","0"
"80002","14:41:00","14:41:00","800259","2","0","0"
"80002","14:48:00","14:48:00","800260","3","0","0"
"80002","15:02:00","15:02:00","8212863","4","0","0"
"80003","14:31:00","14:31:00","7073","3","1","0"
"80003","14:24:00","14:24:00","7625","2","0","0"
"80003","14:00:00","14:00:00","800106","1","0","1"
"80004","16:31:00","16:31:00","7073","3","1","0"
"80004","16:24:00","16:24:00","7625","2","0","0"
"80004","16:00:00","16:00:00","800106","1","0","1"
"80005","14:00:00","14:00:00","800106","1","0","1"
"80005","14:15:00","14:15:00","800130","2","1","0"
"80006","16:00:00","16:00:00","800106","1","0","1"
"80006","16:15:00","16:15:00","800130","2","1","0"
"80007","16:30:00","16:30:00","7124","2","1","0"
"80007","16:00:00","16:00:00","800106","1","0","1"
"80008","16:35:00","16:35:00","7124","1","0","1"
"80008","17:15:00","17:15:00","800130","2","1","0"
"80009","17:05:00","17:05:00","7073","2","0","0"
"80009","17:00:00","17:00:00","71561","1","0","1"
"80009","17:54:00","17:54:00","800130","7","1","0"
"80009","17:46:00","17:46:00","800206","6","0","0"
"80009","17:16:00","17:16:00","800259","3","0","0"
"80009","17:23:00","17:23:00","800260","4","0","0"
"80009","17:37:00","17:37:00","8212863","5","0","0"
"80010","7:50:00","7:50:00","7073","1","0","1"
"80010","7:57:00","7:57:00","7625","2","0","0"
"80010","8:20:00","8:20:00","800106","3","0","0"
"80010","8:37:00","8:37:00","800130","4","1","0"
"80011","7:50:00","7:50:00","7073","1","0","1"
"80011","7:57:00","7:57:00","7625","2","0","0"
"80011","8:32:00","8:32:00","800130","3","1","0"
"80012","7:50:00","7:50:00","7073","1","0","1"
"80012","7:57:00","7:57:00","7625","2","0","0"
"80012","8:32:00","8:32:00","800130","3","1","0"
"80013","7:59:00","7:59:00","7073","6","1","0"
"80013","7:10:00","7:10:00","800130","1","0","1"
"80013","7:18:00","7:18:00","800206","2","0","0"
