stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"1006","1006","SENORBI` PIAZZA S. ANTONIO 1","Senorbi' (P.zza Sant'Antonio 3-Fronte Chiesa)","39.53227","9.130615","63"
"1011","1011","VILLASOR VIA FELICE SERRA FR 2","Villasor (Via Felice Serra 2-Municipio)","39.38054","8.940413","89"
"1013","1013","DECIMOMANNU","Decimomannu (Via Nazionale-CTM)","39.30899","8.9673","13"
"1014","1014","ASSEMINI VIA CARMINE","Assemini (Via Carmine-CTM)","39.286","9.006772","2"
"1015","1015","ELMAS VIA SULCITANA 98","Elmas (Via Sulcitana 98-Pressi V.Pino Solitario)","39.26839","9.047529","18"
"1024","1024","MURAVERA","Muravera (Via Roma 42-Hotel Corallo)","39.41947","9.581257","36"
"1045","1045","QUARTU VIA CAGLIARI 53","Quartu (Via Cagliari 53)","39.243","9.181424","47"
"1074","1074","DOLIANOVA","Dolianova (Corso Repubblica fr. 83-Comune)","39.3766","9.175929","15"
"1078","1078","SERDIANA","Serdiana (Via Manno-Scuole Elementari)","39.374902","9.162701","64"
"1085","1085","BARUMINI VIA ROMA 26","Barumini (Via Roma 26)","39.70326","9.001155","441"
"1088","1088","VILLAMAR","Villamar (Via Roma fr. 143)","39.61955","8.958617","470"
"1089","1089","FURTEI FARMACIA","Furtei (Corso V.Emanuele-Farmacia)","39.5634","8.945217","444"
"1091","1091","BIVIO CAPOTERRA","Capoterra Bivio (SP 91-Pressi SS 195)","39.15283","9.016724","29"
"1093","1093","FRUTTI D'ORO","Frutti d'Oro (Pressi Edicola)","39.14358","9.009634","29"
"1101","1101","SARDARA VIA ORISTANO 3","Sardara (Via Oristano 3)","39.6122","8.820797","458"
"1103","1103","TERME DI SARDARA"," ","39.61358","8.784761","458"
"1106","1106","ORTACESUS","Ortacesus (Via Kennedy 11)","39.53924","9.085766","43"
"1107","1107","GUASILA VIA ROMA 52","Guasila (Via Roma 52)","39.55977","9.045003","27"
"1108","1108","SEGARIU","Segariu (Via Roma 139)","39.56043","8.986078","459"
"1111","1111","VILLASPECIOSA","Villaspeciosa (Via Cagliari 4-Monumento)","39.31236","8.927236","90"
"1112","1112","BIVIO STAZIONE UTA","Uta Stazione FS Bivio (Ex SS 130)","39.30155","8.942162","82"
"1113","1113","UTA PIAZZA SANTA GIUSTA","Uta (P.zza Santa Giusta)","39.287","8.962165","82"
"1124","1124","PULA","Pula (Via Lamarmora 80)","39.00414","9.000104","46"
"1126","1126","SARROCH","Sarroch (Via Cagliari 47-Pressi Hotel Villarosa)","39.0667","9.010785","60"
"1129","1129","SU LOI FRUTTI D'ORO","Su Loi (Su Spantu 3-SS 195)","39.13732","9.009047","29"
"1132","1132","CAGLIARI PIAZZA GIOVANNI XXIII","Cagliari (P.zza Giovanni XXIII-Pressi CTM)","39.227278","9.1263171","6"
"1136","1136","SERRAMANNA VIA RINASCITA 5A","Serramanna (Via Rinascita fr. 7)","39.41795","8.929309","460"
