route_id,service_id,trip_id,trip_short_name,direction_id
"Asara-301","8001","80001","80001","0"
"Asara-301","8001","80014","80014","1"
"Asara-301","8001","80015","80015","0"
"Asara-301","8001","80017","80017","0"
"Asara-301","8001","80018","80018","1"
"Asara-301","8002","80002","80002","1"
"Asara-301","8002","80013","80013","0"
"Asara-301","8002","80016","80016","1"
"Asara-301","8003","80003","80003","0"
"Asara-301","8003","80005","80005","1"
"Asara-301","8003","80010","80010","1"
"Asara-301","8003","80019","80019","0"
"Asara-301","8004","80004","80004","0"
"Asara-301","8004","80006","80006","1"
"Asara-301","8004","80007","80007","0"
"Asara-301","8004","80008","80008","1"
"Asara-301","8004","80009","80009","1"
"Asara-301","8011","80011","80011","1"
"Asara-301","8012","80012","80012","1"
"Asara-302","8001","80020","80020","0"
"Asara-302","8001","80021","80021","1"
"Asara-302","8001","80022","80022","0"
"Asara-302","8001","80025","80025","0"
"Asara-302","8001","80026","80026","1"
"Asara-302","8002","80023","80023","1"
"Asara-302","8011","80024","80024","1"
"Asara-304","8003","80027","80027","0"
"Asara-304","8003","80028","80028","1"
"Asara-304","8004","80029","80029","1"
"Atzeni-401","12","80030","80030","0"
"Atzeni-401","12","80031","80031","1"
"Atzeni-402","8001","80032","80032","0"
"Atzeni-402","8001","80033","80033","1"
"Atzeni-402","8001","80034","80034","0"
"Atzeni-402","8001","80035","80035","1"
"Autolinee_del_Golfo-504","1","80067","80067","0"
"Autolinee_del_Golfo-504","1","80068","80068","1"
"Autolinee_del_Golfo-504","1","80073","80073","0"
"Autolinee_del_Golfo-504","1","80074","80074","1"
"Autolinee_del_Golfo-504","1","80077","80077","0"
"Autolinee_del_Golfo-504","8069","80069","80069","1"
"Autolinee_del_Golfo-504","8069","80071","80071","0"
"Autolinee_del_Golfo-504","8069","80072","80072","1"
"Autolinee_del_Golfo-504","8069","80075","80075","0"
"Autolinee_del_Golfo-504","8069","80076","80076","1"
"Autolinee_del_Golfo-504","8070","80070","80070","1"
"Autolinee_del_Golfo-520","8069","80078","80078","0"
"Autolinee_del_Golfo-520","8069","80079","80079","1"
"Autolinee_del_Golfo-531","8069","80080","80080","0"
"Autolinee_del_Golfo-531","8069","80081","80081","1"
"Autolinee_del_Golfo-532","1","80082","80082","0"
"Autolinee_del_Golfo-532","1","80083","80083","1"
"Autolinee_del_Golfo-532","1","80084","80084","1"
"Autolinee_del_Golfo-532","1","80087","80087","0"
"Autolinee_del_Golfo-532","1","80088","80088","1"
"Autolinee_del_Golfo-532","1","80091","80091","0"
"Autolinee_del_Golfo-532","8069","80085","80085","0"
"Autolinee_del_Golfo-532","8069","80086","80086","1"
"Autolinee_del_Golfo-532","8069","80089","80089","0"
"Autolinee_del_Golfo-532","8069","80090","80090","1"
"Autolinee_del_Golfo-536","1","80092","80092","0"
"Autolinee_del_Golfo-536","1","80093","80093","1"
"Autolinee_del_Golfo-536","1","80094","80094","1"
"Autolinee_del_Golfo-536","1","80097","80097","0"
"Autolinee_del_Golfo-536","1","80098","80098","1"
"Autolinee_del_Golfo-536","1","80101","80101","0"
"Autolinee_del_Golfo-536","8069","80095","80095","0"
"Autolinee_del_Golfo-536","8069","80096","80096","1"
"Autolinee_del_Golfo-536","8069","80099","80099","0"
"Autolinee_del_Golfo-536","8069","80100","80100","1"
"Autolinee_del_Golfo-554","8069","80102","80102","0"
"Autolinee_del_Golfo-554","8069","80103","80103","1"
"Autolinee_del_Golfo-555","8001","80106","80106","0"
"Autolinee_del_Golfo-555","8001","80109","80109","1"
"Autolinee_del_Golfo-555","8002","80104","80104","0"
"Autolinee_del_Golfo-555","8002","80105","80105","1"
"Autolinee_del_Golfo-555","8002","80107","80107","1"
"Autolinee_del_Golfo-555","8002","80108","80108","0"
"Autolinee_del_Golfo-555","8002","80110","80110","0"
"Autolinee_del_Golfo-556","8002","80111","80111","0"
"Autolinee_del_Golfo-556","8002","80112","80112","1"
"Aut_Nuova_Sun_Travel-8901","1","80037","80037","1"
"Aut_Nuova_Sun_Travel-8901","1","80038","80038","0"
"Aut_Nuova_Sun_Travel-8901","8001","80040","80040","0"
"Aut_Nuova_Sun_Travel-8901","8001","80041","80041","1"
"Aut_Nuova_Sun_Travel-8901","8002","80036","80036","0"
"Aut_Nuova_Sun_Travel-8901","8002","80039","80039","1"
"Aut_Nuova_Sun_Travel-8903","8001","80042","80042","0"
"Aut_Nuova_Sun_Travel-8903","8001","80043","80043","1"
"Aut_Nuova_Sun_Travel-8903","8002","80044","80044","0"
