trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
100001,13:20:00,13:20:00,8312855,1,0,1
100001,13:33:00,13:33:00,8312856,2,0,0
100001,13:49:00,13:49:00,8312857,4,0,0
100001,14:04:00,14:04:00,8312859,5,0,0
100001,14:17:00,14:17:00,8312860,6,0,0
100001,14:43:00,14:43:00,8312862,7,0,0
100001,13:40:00,13:40:00,8312896,3,0,0
100002,14:02:00,14:02:00,8312852,4,0,0
100002,13:46:00,13:47:00,8312854,3,0,0
100002,13:30:00,13:30:00,8312855,1,0,1
100002,13:41:00,13:42:00,8312895,2,0,0
100003,18:48:00,18:48:00,8312950,2,0,0
100003,18:34:00,18:34:00,8312952,1,0,1
100004,5:58:00,5:58:00,8312952,3,0,0
100004,5:32:00,5:32:00,8313703,1,0,1
100005,6:58:00,6:58:00,8312952,3,0,0
100005,6:32:00,6:32:00,8313703,1,0,1
100006,7:58:00,7:58:00,8312952,3,0,0
100006,7:32:00,7:32:00,8313703,1,0,1
100007,5:25:00,5:25:00,8312869,1,0,1
100007,5:47:00,5:48:00,8312873,3,0,0
100007,6:20:00,6:20:00,8312878,6,0,0
100008,21:58:00,21:58:00,8312869,6,0,0
100008,21:27:00,21:28:00,8312873,4,0,0
100008,21:17:00,21:18:00,8312874,3,0,0
100008,20:50:00,20:50:00,8312878,1,0,1
100009,24:21:00,24:21:00,8312878,8,0,0
100009,24:00:00,24:01:00,8312879,7,0,0
100009,23:44:00,23:45:00,8312880,6,0,0
100009,23:21:00,23:22:00,8312882,5,0,0
100009,22:59:00,23:00:00,8312885,4,0,0
100009,22:49:00,22:50:00,8312886,3,0,0
100009,22:40:00,22:41:00,8312887,2,0,0
100009,22:31:00,22:31:00,8312888,1,0,1
100010,8:12:00,8:12:00,8312950,1,0,1
100010,8:26:00,8:26:00,8312952,2,0,0
100011,10:12:00,10:12:00,8312950,1,0,1
100011,10:26:00,10:26:00,8312952,2,0,0
100012,12:12:00,12:12:00,8312950,1,0,1
100012,12:26:00,12:26:00,8312952,2,0,0
100013,14:12:00,14:12:00,8312950,1,0,1
100013,14:26:00,14:26:00,8312952,2,0,0
100014,16:12:00,16:12:00,8312950,1,0,1
100014,16:26:00,16:26:00,8312952,2,0,0
100015,18:12:00,18:12:00,8312950,1,0,1
100015,18:26:00,18:26:00,8312952,2,0,0
100016,20:12:00,20:12:00,8312950,1,0,1
100016,20:26:00,20:26:00,8312952,2,0,0
100017,15:02:00,15:02:00,8312952,1,0,1
100017,15:25:00,15:25:00,8313703,3,0,0
100018,8:48:00,8:48:00,8312950,2,0,0
100018,8:34:00,8:34:00,8312952,1,0,1
100019,10:48:00,10:48:00,8312950,2,0,0
100019,10:34:00,10:34:00,8312952,1,0,1
100020,12:48:00,12:48:00,8312950,2,0,0
100020,12:34:00,12:34:00,8312952,1,0,1
100021,14:48:00,14:48:00,8312950,2,0,0
100021,14:34:00,14:34:00,8312952,1,0,1
100022,16:48:00,16:48:00,8312950,2,0,0
100022,16:34:00,16:34:00,8312952,1,0,1
100023,20:48:00,20:48:00,8312950,2,0,0
100023,20:34:00,20:34:00,8312952,1,0,1
100024,23:45:00,23:45:00,8312819,1,0,1
100024,23:55:00,23:55:00,8312891,3,0,0
100025,18:52:00,18:52:00,8312852,4,0,0
100025,18:37:00,18:37:00,8312854,3,0,0
100025,18:20:00,18:20:00,8312855,1,0,1
100025,18:32:00,18:32:00,8312895,2,0,0
100026,18:20:00,18:20:00,8312855,1,0,1
100026,18:43:00,18:43:00,8312857,3,0,0
100026,19:00:00,19:01:00,8312859,4,0,0
100026,19:13:00,19:14:00,8312860,5,0,0
100026,19:40:00,19:40:00,8312862,6,0,0
100026,18:34:00,18:35:00,8312896,2,0,0
100027,6:20:00,6:20:00,8312869,1,0,1
100027,6:33:00,6:34:00,8312872,2,0,0
100027,6:42:00,6:43:00,8312873,3,0,0
100027,7:25:00,7:25:00,8312878,6,0,0
100028,5:56:00,5:56:00,8312819,14,0,0
100028,4:00:00,4:00:00,8312878,1,0,1
100028,4:20:00,4:21:00,8312879,3,0,0
100028,4:36:00,4:37:00,8312880,4,0,0
100028,4:49:00,4:50:00,8312882,6,0,0
100028,5:09:00,5:10:00,8312885,8,0,0
100028,5:20:00,5:20:00,8312886,9,0,0
100028,5:30:00,5:30:00,8312887,10,0,0
100028,5:41:00,5:41:00,8312888,11,0,0
100028,6:06:00,6:06:00,8312891,16,0,0
100029,23:40:00,23:40:00,8312819,3,0,0
